Broker    Stock          Value     Changes   Date and Time
Broker 2  Technology     183       12        3/7/21 10:23:16 PM
Broker 3  Technology     183       12        3/7/21 10:23:16 PM
Broker 4  Technology     183       12        3/7/21 10:23:16 PM
Broker 2  Banking        113       12        3/7/21 10:23:16 PM
Broker 3  Banking        113       12        3/7/21 10:23:16 PM
Broker 4  Banking        113       12        3/7/21 10:23:16 PM
Broker 1  Technology     183       13        3/7/21 10:23:17 PM
Broker 2  Technology     183       13        3/7/21 10:23:17 PM
Broker 2  Commodity      617       13        3/7/21 10:23:17 PM
Broker 4  Commodity      617       13        3/7/21 10:23:17 PM
Broker 3  Technology     183       13        3/7/21 10:23:17 PM
Broker 4  Technology     183       13        3/7/21 10:23:17 PM
Broker 2  Banking        113       13        3/7/21 10:23:17 PM
Broker 3  Banking        113       13        3/7/21 10:23:17 PM
Broker 4  Banking        113       13        3/7/21 10:23:17 PM
Broker 2  Commodity      629       14        3/7/21 10:23:17 PM
Broker 4  Commodity      629       14        3/7/21 10:23:17 PM
Broker 1  Technology     183       14        3/7/21 10:23:17 PM
Broker 2  Technology     183       14        3/7/21 10:23:17 PM
Broker 3  Technology     183       14        3/7/21 10:23:17 PM
Broker 4  Technology     183       14        3/7/21 10:23:17 PM
Broker 2  Banking        116       14        3/7/21 10:23:18 PM
Broker 3  Banking        116       14        3/7/21 10:23:18 PM
Broker 4  Banking        116       14        3/7/21 10:23:18 PM
Broker 2  Commodity      633       15        3/7/21 10:23:18 PM
Broker 1  Technology     187       15        3/7/21 10:23:18 PM
Broker 2  Technology     187       15        3/7/21 10:23:18 PM
Broker 3  Technology     187       15        3/7/21 10:23:18 PM
Broker 4  Technology     187       15        3/7/21 10:23:18 PM
Broker 4  Commodity      633       15        3/7/21 10:23:18 PM
Broker 2  Banking        117       15        3/7/21 10:23:18 PM
Broker 3  Banking        117       15        3/7/21 10:23:18 PM
Broker 4  Banking        117       15        3/7/21 10:23:18 PM
Broker 2  Commodity      636       16        3/7/21 10:23:18 PM
Broker 1  Technology     188       16        3/7/21 10:23:18 PM
Broker 2  Technology     188       16        3/7/21 10:23:18 PM
Broker 3  Technology     188       16        3/7/21 10:23:18 PM
Broker 4  Technology     188       16        3/7/21 10:23:18 PM
Broker 4  Commodity      636       16        3/7/21 10:23:18 PM
Broker 2  Banking        119       16        3/7/21 10:23:19 PM
Broker 3  Banking        119       16        3/7/21 10:23:19 PM
Broker 4  Banking        119       16        3/7/21 10:23:19 PM
Broker 1  Technology     188       17        3/7/21 10:23:19 PM
Broker 2  Commodity      655       17        3/7/21 10:23:19 PM
Broker 4  Commodity      655       17        3/7/21 10:23:19 PM
Broker 2  Technology     188       17        3/7/21 10:23:19 PM
Broker 3  Technology     188       17        3/7/21 10:23:19 PM
Broker 4  Technology     188       17        3/7/21 10:23:19 PM
Broker 2  Banking        120       17        3/7/21 10:23:19 PM
Broker 3  Banking        120       17        3/7/21 10:23:19 PM
Broker 4  Banking        120       17        3/7/21 10:23:19 PM
Broker 2  Commodity      660       18        3/7/21 10:23:19 PM
Broker 1  Technology     189       18        3/7/21 10:23:19 PM
Broker 2  Technology     189       18        3/7/21 10:23:19 PM
Broker 3  Technology     189       18        3/7/21 10:23:19 PM
Broker 4  Technology     189       18        3/7/21 10:23:19 PM
Broker 4  Commodity      660       18        3/7/21 10:23:19 PM
Broker 1  Retail         37        19        3/7/21 10:23:20 PM
Broker 4  Retail         37        19        3/7/21 10:23:20 PM
Broker 2  Banking        122       18        3/7/21 10:23:20 PM
Broker 3  Banking        122       18        3/7/21 10:23:20 PM
Broker 4  Banking        122       18        3/7/21 10:23:20 PM
Broker 1  Technology     190       19        3/7/21 10:23:20 PM
Broker 2  Commodity      671       19        3/7/21 10:23:20 PM
Broker 4  Commodity      671       19        3/7/21 10:23:20 PM
Broker 2  Technology     190       19        3/7/21 10:23:20 PM
Broker 3  Technology     190       19        3/7/21 10:23:20 PM
Broker 4  Technology     190       19        3/7/21 10:23:20 PM
Broker 1  Retail         38        20        3/7/21 10:23:20 PM
Broker 4  Retail         38        20        3/7/21 10:23:20 PM
Broker 2  Banking        122       19        3/7/21 10:23:20 PM
Broker 1  Technology     191       20        3/7/21 10:23:20 PM
Broker 2  Commodity      690       20        3/7/21 10:23:20 PM
Broker 2  Technology     191       20        3/7/21 10:23:20 PM
Broker 4  Commodity      690       20        3/7/21 10:23:20 PM
Broker 3  Technology     191       20        3/7/21 10:23:20 PM
Broker 4  Technology     191       20        3/7/21 10:23:20 PM
Broker 3  Banking        122       19        3/7/21 10:23:20 PM
Broker 4  Banking        122       19        3/7/21 10:23:20 PM
Broker 1  Retail         38        21        3/7/21 10:23:21 PM
Broker 4  Retail         38        21        3/7/21 10:23:21 PM
Broker 2  Banking        124       20        3/7/21 10:23:21 PM
Broker 2  Commodity      692       21        3/7/21 10:23:21 PM
Broker 1  Technology     192       21        3/7/21 10:23:21 PM
Broker 2  Technology     192       21        3/7/21 10:23:21 PM
Broker 4  Commodity      692       21        3/7/21 10:23:21 PM
Broker 3  Technology     192       21        3/7/21 10:23:21 PM
Broker 4  Technology     192       21        3/7/21 10:23:21 PM
Broker 3  Banking        124       20        3/7/21 10:23:21 PM
Broker 4  Banking        124       20        3/7/21 10:23:21 PM
Broker 1  Retail         39        22        3/7/21 10:23:21 PM
Broker 4  Retail         39        22        3/7/21 10:23:21 PM
Broker 2  Commodity      707       22        3/7/21 10:23:21 PM
Broker 1  Technology     196       22        3/7/21 10:23:21 PM
Broker 2  Technology     196       22        3/7/21 10:23:21 PM
Broker 3  Technology     196       22        3/7/21 10:23:21 PM
Broker 4  Technology     196       22        3/7/21 10:23:21 PM
Broker 2  Banking        124       21        3/7/21 10:23:21 PM
Broker 3  Banking        124       21        3/7/21 10:23:21 PM
Broker 4  Banking        124       21        3/7/21 10:23:21 PM
Broker 4  Commodity      707       22        3/7/21 10:23:21 PM
Broker 1  Retail         39        23        3/7/21 10:23:22 PM
Broker 4  Retail         39        23        3/7/21 10:23:22 PM
Broker 1  Technology     196       23        3/7/21 10:23:22 PM
Broker 2  Technology     196       23        3/7/21 10:23:22 PM
Broker 2  Banking        126       22        3/7/21 10:23:22 PM
Broker 3  Technology     196       23        3/7/21 10:23:22 PM
Broker 4  Technology     196       23        3/7/21 10:23:22 PM
Broker 3  Banking        126       22        3/7/21 10:23:22 PM
Broker 4  Banking        126       22        3/7/21 10:23:22 PM
Broker 2  Commodity      725       23        3/7/21 10:23:22 PM
Broker 4  Commodity      725       23        3/7/21 10:23:22 PM
Broker 1  Retail         40        24        3/7/21 10:23:22 PM
Broker 1  Technology     199       24        3/7/21 10:23:22 PM
Broker 2  Banking        128       23        3/7/21 10:23:22 PM
Broker 2  Technology     199       24        3/7/21 10:23:22 PM
Broker 3  Banking        128       23        3/7/21 10:23:22 PM
Broker 4  Banking        128       23        3/7/21 10:23:22 PM
Broker 3  Technology     199       24        3/7/21 10:23:22 PM
Broker 4  Technology     199       24        3/7/21 10:23:22 PM
Broker 2  Commodity      741       24        3/7/21 10:23:22 PM
Broker 4  Commodity      741       24        3/7/21 10:23:22 PM
Broker 4  Retail         40        24        3/7/21 10:23:22 PM
Broker 1  Technology     200       25        3/7/21 10:23:23 PM
Broker 2  Banking        128       24        3/7/21 10:23:23 PM
Broker 3  Banking        128       24        3/7/21 10:23:23 PM
Broker 4  Banking        128       24        3/7/21 10:23:23 PM
Broker 2  Commodity      755       25        3/7/21 10:23:23 PM
Broker 4  Commodity      755       25        3/7/21 10:23:23 PM
Broker 1  Retail         41        25        3/7/21 10:23:23 PM
Broker 4  Retail         41        25        3/7/21 10:23:23 PM
Broker 2  Technology     200       25        3/7/21 10:23:23 PM
Broker 3  Technology     200       25        3/7/21 10:23:23 PM
Broker 4  Technology     200       25        3/7/21 10:23:23 PM
Broker 2  Banking        131       25        3/7/21 10:23:23 PM
Broker 3  Banking        131       25        3/7/21 10:23:23 PM
Broker 4  Banking        131       25        3/7/21 10:23:23 PM
